UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Dahmir,@DahmirG,2019-03-30T23:35:39.000Z,Lmfao the Celtics getting washed ,😂 😂 😂,,,
"six.twentyseven
..",@shortnessss__,2019-03-30T23:33:17.000Z,"God is so good 
 im so grateful for the things he’s done for me",♋,,2,1
Walter Adams,@dlite_13,2019-03-30T23:14:32.000Z,"After that road trip, I needed to stretch my legs and get back on track @ Patuxent River https://instagram.com/p/BvpofzvH2Bf/?utm_source=ig_twitter_share&igshid=6gtldsfd0kl6…",,,,
Oh_its_Sharday,@oh_sharday,2019-03-30T22:56:10.000Z,Applebee’s ,💫 😀 😀 😀 😀,,,1
D. Grünberg,@dbgrunberg,2019-03-30T22:49:33.000Z,"Slowly getting my #strava badges!Strava Challenge: Salomon Sonic Challenge
Run 123 minutes in 2 weeks! Prove it starting March 18, 2019
strava.com",,,,
C21 New Millennium,@C21NM,2019-03-30T22:49:22.000Z,Just listed by Tinamarie Gallagher in #LexingtonPark #MD. 46158 THOROUGHBRED WAY #14! Please retweet!  http://tour.c21nm.com/home/X7MF8M  [For rent],,,,1
Jbone,@JustinMcGowan2,2019-03-30T22:37:38.000Z,Who got apex on ps4,,,,
Oh_its_Sharday,@oh_sharday,2019-03-30T22:34:18.000Z,Like and retweet my pics,💫,,,1
C21 New Millennium,@C21NM,2019-03-30T22:32:45.000Z,Check out our newest listing in #LexingtonPark! Tell us what you think!  #realestate http://tour.c21nm.com/home/R84357  [For sale],,,,1
megitnasty,@lilredmeg,2019-03-30T22:16:37.000Z,"Matching soles 
 @ Lusby, Maryland https://instagram.com/p/Bvph3ijn6F1/?utm_source=ig_twitter_share&igshid=1v3f60bxaf0r4…",✨,,,
randa,@xoxoRambo,2019-03-30T22:06:59.000Z,man i’ve been irritated all day,🌴,,,
Jennifer Gilman Ed.D.,@hes_smcps,2019-03-30T21:25:54.000Z,"It was a great day today at the SMCPS job fair!  Thank you to #SMCPSJobFair, #smcpshr!!",,1,3,13
C21 New Millennium,@C21NM,2019-03-30T21:11:47.000Z,See a virtual tour of one of our newest #listings 28603 POINT LOOKOUT RD #Leonardtown #MD  http://tour.c21nm.com/home/Z3F8S7  [For sale],,,,1
"six.twentyseven
..",@shortnessss__,2019-03-30T20:48:50.000Z,im so pressed idc idcc ,♋ 😁,,,
"six.twentyseven
..",@shortnessss__,2019-03-30T20:48:18.000Z,manager pulled me to the side and told me that i would be getting trained and the next meeting i would hopefully get a promotion ,♋,1,,
Jeff Moshworthy,@jarjarrhine,2019-03-30T20:43:12.000Z,SPRING HAS SPRUNG,,,,2
"six.twentyseven
..",@shortnessss__,2019-03-30T20:42:18.000Z,got great news today,♋,,,
Patricia..goes north til roads run out,,2019-03-30T20:40:52.000Z,"Replying to 
@audiblesupportThank you for listening!",🌬 🚙 🎨 🎹 🎻 📚,,,
"prettiana
.",@ohhthatstati,2019-03-30T20:40:02.000Z,IMESSAGE GC ?,🦋,,,
Patricia..goes north til roads run out,,2019-03-30T20:35:39.000Z,"Replying to 
@Carol59382514
 and 
@CapehartJAnd trump has a vocabulary of, maybe, a hundred words! So he has to repeat them a lot!",🌬 🚙 🎨 🎹 🎻 📚,1,,4
Barbara Blades,@BarbieBlades,2019-03-30T19:49:33.000Z,Check out my #listing in #LexingtonPark #MD  #realestate #realtor http://tour.c21nm.com/home/QF2JHY  [For sale],,,,
ray,@rad7845,2019-03-30T18:53:37.000Z,Send me a pic so I can make you my watchface,,,,
nate,@nate_danner,2019-03-30T18:47:08.000Z,I hate having a dirty car makes me not even wanna drive it ,😞,,1,1
Rob $tone,@Robbie_Stone8,2019-03-30T18:39:47.000Z,"Replying to 
@PayneTrain44@FlipppBayless
 had the funniest one lmaooo ",😂,1,,3
Grizzel,@G_Grizzel,2019-03-30T18:38:40.000Z,"Im live......again!
https://youtu.be/8VovE4KTi4E",,,1,1
KIRKO,@_kaptainkurt,2019-03-30T17:42:42.000Z,Ahh those trees that smell like hot coochie are back,,1,,1
bmoney,@isit2024_yet,2019-03-30T17:34:09.000Z,Was AOC even born during 9/11?? She is an idiot.,,,,
Isaac,@hereliesisaac,2019-03-30T17:03:38.000Z,“Maybe if we tweet it a third time it’ll work??” - GameSpots social media manager https://twitter.com/GameSpot/status/1112021799854899200…This Tweet is unavailable.,,,,
Jes Bensel,@jespalatka,2019-03-30T17:01:30.000Z,"@bizdavan
 and her partner received the highest score they could at Solo and Ensemble Festival! #percussion #marimba #vibraphoneSup Fine Arts and Leonardtown Band",,,,1
Isaac,@hereliesisaac,2019-03-30T17:00:23.000Z,"Replying to 
@davidgarcia_Worth it",,,,
KIRKO,@_kaptainkurt,2019-03-30T16:56:03.000Z,If you wanna be my friend today and enjoy this nice weather HMU ,😤,,,2
ray,@rad7845,2019-03-30T16:52:34.000Z,Love who you love because life isn’t guaranteed,,,,
Isaac,@hereliesisaac,2019-03-30T16:51:53.000Z,"Replying to 
@davidgarcia_Bless up ",,1,,
Where in the world is Ray?,@_raythesavage,2019-03-30T16:51:20.000Z,"Replying to 
@elsiddeeq",😭 😭 😭 😭 😭 😭 😭 😭,,,
NO JUSTICE NO PEACE,@emm_nystrom,2019-03-30T16:49:32.000Z,"This made me SOB Quote Tweet
Tolu
|
@iamtberry
 · Mar 28, 2019
Last time I saw my baby sister was 7!7 years ago when she was 7! Now she’s 14 and almost graduating high school! She ain’t believe i was coming to Nigeria so I did and pulled up at her school hostel. She’s my whole life in human form.
Show this thread",😭,,,2
Where in the world is Ray?,@_raythesavage,2019-03-30T16:36:55.000Z,Ya be asking my IG like I ain’t ugly on there too ,😂 😂 😂,1,,
Where in the world is Ray?,@_raythesavage,2019-03-30T16:35:56.000Z,"If I knew they weren’t going to tweak my eval, I would’ve gave myself a 5.0 ",😂 😂 😂 😂 😂,,,
Where in the world is Ray?,@_raythesavage,2019-03-30T16:23:43.000Z,"Lmfaoooo I’m screaming Quote Tweet
free the land
@timmy2checks
 · Mar 29, 2019
@ Megan Thee Stallion",😂 😭 😭,,,
Chris Rubenstahl,@CMRubenstahl,2019-03-30T16:20:14.000Z,"I'm at a teacher's job fair today, and I have several interviews scheduled.   Some of the local school mascots were there as well! @ Leonardtown, Maryland https://instagram.com/p/Bvo5FU-BQ8s/?utm_source=ig_twitter_share&igshid=1uvuask2o9kng…",,,,2
Where in the world is Ray?,@_raythesavage,2019-03-30T16:16:05.000Z,"Little man liked my post 
 this is 
... it’s his shoe ",🔥 😩 ❤,,,
Mira,@miratempe,2019-03-30T14:00:08.000Z,"Replying to 
@alexa_needle:')",,,,
KIRKO,@_kaptainkurt,2019-03-30T13:58:08.000Z,Don’t disrespect me like that,,,,
Jamila Lindsey the Black Racist,@JLinz77,2019-03-30T13:57:21.000Z,"Replying to 
@Stokes_Photo
 @wattpad
 and 10 othersThey're ""supposed"" to, but I've also seen the site be lenient about their no explicit content guideline. It's almost like they depend on their readers too much to report these things instead of combing through the works themselves",,,,1
JWynn,@JWynn83,2019-03-30T13:54:27.000Z,"Week 3 Day 4: Bench ~ Heavy Intensity (65% - 95%)

Still feeling the aftermath from yesterday's Squat Day 
 The 
 and 
 are hella tender. Smoked through this though took me a minute to… https://instagram.com/p/BvooZFPFV6R/?utm_source=ig_twitter_share&igshid=mdwhgwn3z69m…",😩 😓 🍑 🍗,,,
trapper jo,@Jordansimps,2019-03-30T13:53:26.000Z,"Replying to 
@jigpuffOh",,,,
Oh_its_Sharday,@oh_sharday,2019-03-30T13:30:46.000Z,"Money 
 moves this morning",💫 💰,,1,2
Cody James Lopez,@4HBappinRapper,2019-03-30T13:26:45.000Z,"Replying to 
@elonmuskHey 
@Connor_dixon7",,1,,1
trapper jo,@Jordansimps,2019-03-30T13:26:43.000Z,"Replying to 
@jigpuffWhere are you",,1,,
"Helen Mattingly Wernecke, REALTOR®",@helenmwernecke,2019-03-30T13:13:36.000Z,"And the season has begun! 
.
.
.
#acemaguire #flagfootball #saturdaysports @ Hollywood, Maryland https://instagram.com/p/BvojuftlfCG/?utm_source=ig_twitter_share&igshid=b1pc31kp75yy…",🏈 ❤,,,
Jennifer Gilman Ed.D.,@hes_smcps,2019-03-30T12:55:29.000Z,This is happening now!!! We can’t wait to meet you today at the SMCPS job fair!!,,1,1,3
Isaac,@hereliesisaac,2019-03-30T12:39:29.000Z,"Replying to 
@FMoreno1611Exactly. I’m stoked to try this new game.",,,,
Big Daddy Ray,@TMOTS34,2019-03-30T12:13:37.000Z,"Feeling “elite” today...
 @ Big Daddys Crib https://instagram.com/big_pappy_ray/p/Bvoc3DcgoN-/?utm_source=ig_twitter_share&igshid=kxqgj7u8rsax…",😎,,,
Chris Whetlor,@chriswhetlor,2019-03-30T11:20:29.000Z,Just posted a photo @ Breton Bay https://instagram.com/p/BvoWx_bHrzh/?utm_source=ig_twitter_share&igshid=1lstfc6zez6sn…,,,,
Mrs. Dryer,@calvertwhap,2019-03-30T11:05:29.000Z,I really want to go see To Kill a Mockingbird on Broadway!,,,,2
Mrs. Dryer,@calvertwhap,2019-03-30T11:03:42.000Z,"AP Euro will never be the same...in a good way!  Quote Tweet
CrashCourse
@TheCrashCourse
 · Mar 29, 2019
.@johngreen is back to teach you history! This time, we're focusing on Europe, which is both a made-up idea and also very real. https://youtube.com/watch?v=WhtuC9dp0Hk…",💕 🤓,,,8
angela ❥,@angiebreanna,2019-03-30T05:46:06.000Z,fuck a betraying ass bitch i’m cutting you all out of my life fuck y’all fake asses,,,,2
angela ❥,@angiebreanna,2019-03-30T05:45:23.000Z,i literally don’t give a fuck about anything,,,,1
Lexxx,@LexThisLexThat_,2019-03-30T05:19:29.000Z,This California King bed somn serious ,🎀 😍,,,
1.15,@fuckin_milf,2019-03-30T05:12:41.000Z,"Quote Tweet
@meanassbarb_
 · Mar 29, 2019
I called Erin crying &’ this bitch figuring shit out for me, I didn’t even wanna call her but I don’t tell nobody else shit except for like two. Like how she get the strength a fucking diamond man",♑ ♠,,,
angela ❥,@angiebreanna,2019-03-30T05:08:29.000Z,you can’t fall in love with potential,,,,
Ashtonktoowavy,@xYungLInk,2019-03-30T04:17:22.000Z,I have so much goin on rn this sucks,,,1,2
KIRKO,@_kaptainkurt,2019-03-30T03:43:47.000Z,"FUCK IS WRONG WITH YALL NIGGAS SWIMMING IN SOCKSQuote Tweet
The Based Messiah
@bniceloco
 · Mar 29, 2019
Niggas don't know how to act at pool parties LMAOO https://twitter.com/HereGoJurner/status/904902047425757185/video/1…",,,,3
Oh_its_Sharday,@oh_sharday,2019-03-30T03:38:08.000Z,Need more screen protector smh ,💫,,,
brookie,@BrookieRaley,2019-03-30T03:31:32.000Z,i wish for the best but all i ever except anymore is the worst,,,2,2
Isaac,@hereliesisaac,2019-03-30T03:23:35.000Z,"Is this just clickbait? Honestly, checking a review for a game or a movie seems to be the worst thing to do these days.Quote Tweet
Polygon
@Polygon
 · Mar 28, 2019
Borderlands 3’s trailer is a disappointment https://polygon.com/2019/3/28/18285523/borderlands-3-trailer-reaction?utm_campaign=polygon&utm_content=chorus&utm_medium=social&utm_source=twitter…",,2,,2
Mrs. Dryer,@calvertwhap,2019-03-30T03:20:02.000Z,"Replying to 
@SorenAulriqOMG YES!!!!!",,,,1
Mira,@miratempe,2019-03-30T03:03:46.000Z,Send it to Andrew,,1,,4
Hαιℓєу,@haileydeaner,2019-03-30T03:02:59.000Z,"Nathan sleeps in a long sleeve shirt, boxers, and socks.. I’m dating a psychopath",,,,3
Oh_its_Sharday,@oh_sharday,2019-03-30T02:59:51.000Z,10:30-3:30 tomorrow,💫,,,2
Oh_its_Sharday,@oh_sharday,2019-03-30T02:32:29.000Z,Good night,💫,,,2
Big Daddy Ray,@TMOTS34,2019-03-30T01:34:01.000Z,Elite 8 bound...great win guys!! @ Big Daddys Crib https://instagram.com/big_pappy_ray/p/BvnTqp3AfCM/?utm_source=ig_twitter_share&igshid=nhcetpf7co2z…,,,,
t(‘.’t)™,@hoove_thaMove,2019-03-30T01:33:45.000Z,"Replying to 
@DGMH",,,,
"Helen Mattingly Wernecke, REALTOR®",@helenmwernecke,2019-03-30T01:16:11.000Z,"This is the look of #happiness for a #firsttimehomebuyer!! 
 

So brave as an active duty sailor and a #firsttimehomebuyer through FaceTime home tours, phone chats, and digital… https://instagram.com/p/BvnRnsPFuxg/?utm_source=ig_twitter_share&igshid=t4ragezzsqtv…",,,,
M Elaina Schramm,@ElainaSchramm,2019-03-30T00:42:48.000Z,"Replying to 
@QuietFuryThat looks like a nice jog... too much pollen out there for me. Stuck on the treadmill for the next couple of weeks",,,,
Jenna Smith,@_jennasmith_,2019-03-30T00:36:27.000Z," _
_
Flex man chillin with his favorite sis on #flexfriday 
  
_
_
Are y’all getting in some r & r this weekend?! I know I plan on sleeping in some!! & I’m excited about it!!… https://instagram.com/p/BvnMeq2l_Tg/?utm_source=ig_twitter_share&igshid=1ndagq7ccnb2q…",♥ ♥ ♥ 💜 😴 💙,,,1
SMC Arts Council,@SMCArtsCouncil,2019-03-30T00:30:13.000Z,"This Little Piggy! Cards by Caitlin Wakefield, perfect for Easter baskets or to send to someone special! Available now at our Gallery & Gift Shop. #somdartists #smcartscouncil @ St. Mary's… https://instagram.com/p/BvnMXKYll5U/?utm_source=ig_twitter_share&igshid=zae1rb9k4xdi…",,,,
Chris Whetlor,@chriswhetlor,2019-03-30T00:25:07.000Z,Just posted a photo @ Breton Bay https://instagram.com/p/BvnLx7Rn8hN/?utm_source=ig_twitter_share&igshid=1j1bacxz3h8a0…,,,,
1.15,@fuckin_milf,2019-03-30T00:23:49.000Z,My aunt maketen she all up in my man face. Wait a minute,♑,2,1,1
